,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
276,female,group C,some high school,standard,completed,85,92,93
896,male,group B,high school,free/reduced,none,36,29,27
625,male,group D,some college,standard,completed,100,97,99
107,male,group E,associate's degree,standard,completed,66,63,64
701,female,group B,some high school,standard,none,57,67,72
456,female,group D,bachelor's degree,standard,none,79,89,89
469,male,group C,some college,standard,none,91,74,76
388,female,group D,high school,standard,none,62,64,64
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
474,female,group B,associate's degree,standard,completed,90,90,91
837,female,group A,high school,standard,completed,75,82,79
6,female,group B,some college,standard,completed,88,95,92
686,male,group E,some college,standard,completed,85,75,68
162,male,group B,master's degree,free/reduced,none,49,53,52
580,female,group D,some high school,standard,none,81,97,96
986,female,group C,associate's degree,standard,none,40,59,51
286,male,group E,associate's degree,standard,completed,97,82,88
158,female,group B,associate's degree,standard,completed,61,86,87
500,female,group D,master's degree,standard,none,74,79,82
783,female,group C,associate's degree,standard,completed,52,59,62
524,male,group C,high school,standard,completed,53,52,49
420,female,group C,associate's degree,free/reduced,completed,82,93,93
627,male,group D,associate's degree,standard,none,61,48,46
338,female,group B,some high school,free/reduced,none,24,38,27
512,male,group D,some high school,free/reduced,none,62,49,52
11,male,group D,associate's degree,standard,none,40,52,43
540,male,group C,high school,standard,completed,75,69,68
844,female,group D,some high school,free/reduced,completed,40,65,64
666,female,group C,some college,free/reduced,completed,63,73,71
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
632,female,group B,bachelor's degree,standard,completed,66,74,81
406,male,group B,associate's degree,standard,completed,65,65,63
446,male,group D,some college,free/reduced,none,69,66,60
72,female,group A,associate's degree,free/reduced,none,41,51,48
801,male,group C,some high school,standard,completed,76,80,73
830,female,group A,some college,free/reduced,none,61,60,57
825,male,group C,high school,standard,none,62,67,58
659,male,group D,associate's degree,standard,none,90,87,85
495,male,group D,high school,standard,completed,68,64,66
206,male,group E,bachelor's degree,standard,none,82,62,62
600,female,group D,master's degree,standard,none,54,60,63
170,male,group A,high school,standard,completed,72,73,74
103,male,group B,high school,standard,completed,60,44,47
300,male,group A,some college,free/reduced,completed,81,78,81
433,female,group A,some high school,free/reduced,none,47,59,50
482,male,group C,some college,free/reduced,none,68,68,61
0,female,group B,bachelor's degree,standard,none,72,72,74
640,male,group D,high school,standard,none,41,52,51
736,male,group C,associate's degree,standard,none,92,79,84
123,male,group D,high school,free/reduced,none,63,57,56
620,female,group C,high school,free/reduced,none,35,61,54
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
606,female,group C,associate's degree,standard,none,85,84,82
593,female,group E,high school,standard,none,74,76,73
247,female,group B,high school,standard,completed,58,70,68
218,male,group B,high school,free/reduced,none,66,77,70
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
563,female,group D,some college,free/reduced,completed,63,80,80
503,female,group E,associate's degree,standard,completed,95,89,92
396,female,group B,high school,free/reduced,none,50,67,63
188,male,group B,some high school,free/reduced,none,48,52,45
602,female,group E,some college,standard,none,76,78,80
942,male,group C,high school,standard,none,81,66,64
16,male,group C,high school,standard,none,88,89,86
82,male,group A,some college,free/reduced,completed,50,47,54
542,female,group C,associate's degree,standard,none,81,77,79
778,female,group A,some college,standard,completed,72,79,82
22,male,group D,some college,standard,none,44,54,53
201,female,group D,some college,free/reduced,none,65,81,77
434,male,group C,some high school,standard,none,73,66,66
289,male,group E,some high school,standard,completed,77,76,77
150,male,group A,some high school,standard,completed,62,67,69
160,male,group B,associate's degree,free/reduced,completed,82,78,74
357,female,group C,some college,free/reduced,completed,42,66,69
348,male,group D,high school,free/reduced,none,75,74,66
643,female,group E,high school,standard,completed,74,79,80
35,male,group E,associate's degree,standard,completed,81,81,79
127,male,group D,some college,standard,completed,65,77,74
155,female,group C,some college,standard,completed,70,89,88
905,male,group D,some college,standard,none,88,77,77
112,male,group A,associate's degree,standard,none,54,53,47
856,male,group B,some college,free/reduced,none,75,68,65
853,male,group E,some high school,standard,none,82,67,61
854,male,group C,some high school,standard,none,62,64,55
266,female,group C,bachelor's degree,standard,none,63,75,81
28,male,group C,high school,standard,none,70,70,65
737,female,group B,some college,free/reduced,completed,53,66,73
226,female,group C,some college,standard,none,72,72,71
61,male,group A,some high school,free/reduced,none,39,39,34
935,male,group D,some college,free/reduced,none,70,63,58
589,female,group A,some high school,standard,none,48,66,65
62,male,group A,associate's degree,free/reduced,none,62,61,55
223,male,group D,some high school,standard,none,86,80,75
860,female,group C,associate's degree,standard,none,53,62,53
607,female,group C,master's degree,free/reduced,none,40,58,54
592,male,group E,bachelor's degree,standard,none,68,68,64
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
462,female,group E,some college,standard,none,71,70,76
703,female,group D,some college,standard,none,63,64,67
859,male,group C,associate's degree,free/reduced,none,87,73,72
610,male,group D,some college,free/reduced,completed,69,60,63
968,female,group E,associate's degree,standard,none,68,76,67
681,male,group B,high school,standard,none,60,68,60
156,female,group E,high school,free/reduced,completed,66,74,78
64,female,group D,some high school,standard,none,59,58,59
57,male,group D,associate's degree,standard,none,52,55,49
562,male,group C,bachelor's degree,standard,completed,96,90,92
34,male,group E,some college,standard,none,97,87,82
721,male,group D,some high school,free/reduced,completed,55,59,59
41,female,group C,associate's degree,standard,none,58,73,68
671,male,group D,associate's degree,free/reduced,none,52,57,50
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
186,male,group E,high school,standard,none,80,76,65
839,female,group C,associate's degree,standard,none,66,77,73
555,female,group C,some college,free/reduced,none,32,39,33
793,male,group E,some high school,standard,completed,89,84,77
47,female,group C,high school,standard,none,66,71,76
651,female,group A,high school,standard,completed,68,80,76
648,female,group B,high school,standard,none,50,53,55
40,male,group C,associate's degree,free/reduced,none,55,61,54
310,female,group B,associate's degree,standard,none,73,76,80
169,female,group C,some college,free/reduced,completed,67,75,70
687,male,group D,associate's degree,free/reduced,none,77,78,73
517,female,group E,some college,standard,completed,66,74,73
755,female,group E,associate's degree,standard,none,84,95,92
824,female,group C,some high school,free/reduced,none,48,58,52
203,female,group B,associate's degree,standard,none,57,69,68
611,female,group C,some college,standard,none,58,59,66
113,female,group D,some college,standard,none,51,58,54
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
682,male,group B,high school,standard,none,62,55,54
143,male,group A,high school,standard,none,57,43,47
780,female,group D,associate's degree,free/reduced,none,46,56,57
410,female,group D,master's degree,standard,completed,70,71,74
822,male,group E,some college,free/reduced,completed,49,52,51
362,female,group C,some college,standard,none,52,58,58
98,female,group D,some college,free/reduced,none,58,67,62
167,female,group B,master's degree,free/reduced,completed,58,76,78
389,male,group D,master's degree,standard,none,73,70,75
422,female,group D,master's degree,free/reduced,completed,47,58,67
740,male,group D,bachelor's degree,standard,none,80,73,72
270,male,group C,bachelor's degree,standard,none,69,63,61
49,male,group C,high school,standard,completed,82,84,82
807,female,group E,high school,free/reduced,none,41,45,40
670,female,group C,high school,free/reduced,none,66,76,68
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
944,female,group B,high school,standard,none,58,68,61
58,male,group D,some college,standard,completed,58,59,58
306,male,group E,some college,standard,completed,99,87,81
647,female,group E,high school,free/reduced,none,64,62,68
194,female,group C,master's degree,standard,completed,69,84,85
515,female,group C,some high school,standard,completed,76,87,85
261,male,group C,some college,standard,completed,79,79,78
549,male,group C,master's degree,standard,none,79,72,69
971,male,group C,some high school,standard,completed,78,72,69
347,female,group C,bachelor's degree,standard,completed,77,94,95
187,male,group D,some high school,standard,completed,62,66,68
695,female,group D,some college,free/reduced,none,79,89,86
636,female,group B,high school,free/reduced,completed,67,80,81
185,male,group C,associate's degree,free/reduced,completed,65,67,65
480,male,group B,high school,standard,completed,73,71,68
66,male,group D,some high school,free/reduced,none,45,37,37
272,female,group D,associate's degree,free/reduced,none,47,53,58
393,male,group C,associate's degree,standard,completed,57,54,56
867,male,group B,associate's degree,standard,none,61,42,41
738,male,group D,associate's degree,standard,none,81,71,73
439,male,group D,some high school,standard,completed,89,88,82
138,female,group C,associate's degree,standard,none,59,66,67
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
941,female,group D,master's degree,standard,none,78,91,96
788,male,group C,associate's degree,free/reduced,none,68,65,61
235,male,group D,associate's degree,standard,none,80,75,77
902,female,group A,high school,free/reduced,completed,34,48,41
956,male,group C,some college,standard,none,84,87,81
161,female,group E,some college,free/reduced,completed,75,88,85
333,male,group B,associate's degree,standard,none,90,78,81
888,female,group D,some college,free/reduced,none,69,65,74
679,male,group D,some college,free/reduced,none,63,61,60
197,male,group E,high school,free/reduced,none,55,56,51
287,female,group B,some high school,standard,none,67,89,82
826,female,group C,associate's degree,free/reduced,completed,56,68,70
316,female,group D,master's degree,standard,completed,77,82,91
260,female,group C,some high school,free/reduced,completed,64,79,77
204,male,group C,some college,standard,none,59,41,42
196,male,group C,some high school,free/reduced,completed,59,69,65
443,female,group B,associate's degree,standard,none,73,83,76
457,male,group D,associate's degree,free/reduced,none,53,54,48
190,female,group E,associate's degree,standard,none,66,65,69
317,male,group C,associate's degree,standard,none,83,72,78
296,male,group A,some high school,standard,completed,46,41,43
328,male,group C,associate's degree,standard,completed,82,75,77
79,female,group E,master's degree,standard,none,62,68,68
604,male,group D,master's degree,free/reduced,completed,84,89,90
399,male,group D,some high school,standard,none,60,59,54
868,male,group E,associate's degree,free/reduced,completed,78,74,72
966,male,group A,some high school,standard,completed,66,68,64
417,male,group C,associate's degree,standard,none,74,73,67
315,male,group C,high school,standard,none,71,66,65
390,male,group E,some high school,free/reduced,completed,73,67,59
922,male,group D,high school,standard,none,72,66,66
483,male,group A,high school,standard,none,59,52,46
850,male,group C,master's degree,standard,none,71,67,67
224,female,group B,associate's degree,standard,completed,52,66,73
652,female,group D,some college,standard,completed,85,86,98
548,female,group C,high school,free/reduced,none,62,67,64
658,female,group D,associate's degree,free/reduced,none,43,60,58
177,female,group C,associate's degree,standard,completed,71,77,77
892,female,group A,master's degree,free/reduced,none,50,67,73
638,male,group E,some college,standard,none,86,76,74
901,female,group C,master's degree,standard,none,73,78,74
453,male,group C,some college,free/reduced,none,65,58,49
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
882,female,group B,high school,free/reduced,none,64,73,71
756,male,group D,some college,standard,none,55,58,52
182,female,group E,high school,standard,none,50,50,47
501,female,group B,associate's degree,standard,completed,94,87,92
424,male,group B,some college,free/reduced,none,41,39,34
685,female,group E,master's degree,standard,completed,94,99,100
426,male,group C,bachelor's degree,standard,none,86,83,86
